SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on eno3 succeeded.
1 slaves found and configured.
Found slaves with DC.
Slaves mapped, state to SAFE_OP.
segments : 1 : 20 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.


CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   42, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   43, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   44, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   45, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   46, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   47, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   48, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   49, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   50, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   51, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   52, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   53, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   54, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   55, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   56, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   57, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
